name,alasan
garam kasar,Bumbu / rempah / penyedap
getuk tiwul,massa makro > 100 g per 100 g
gulai daging kambing belu,Gula / pemanis
gulasakarin,Gula / pemanis
hallo boy (terigu. tapioka. udang wijen,Nama bukan nama menu
halus manis,Nama bukan nama menu
hati ayam rebus belu,Jeroan / darah
hunkwe,Kacang / biji / umbi mentah
jagung rebus campur kagang hijau belu,Nama bukan nama menu
jahe,Bumbu / rempah / penyedap
jamu beras kencur,Obat / jamu
jamu lempuyang,Obat / jamu
jangung bose campur kacang hijau belu,Nama bukan nama menu
jelly,Bahan / topping / bukan hidangan utuh
jeruk,nama sudah ada di dataset lama
kacang atom,nama sudah ada di dataset lama
kacang dadap,Kacang / biji / umbi mentah
kacang garing rege,Kacang / biji / umbi mentah
kacang shanghai,Kacang / biji / umbi mentah
kacang sukro,nama sudah ada di dataset lama
kacang telur,nama sudah ada di dataset lama
karoket,nama sudah ada di dataset lama
kayu manis,Bumbu / rempah / penyedap
kecap,Bumbu / rempah / penyedap
kecap asin,Bumbu / rempah / penyedap
keluwek,energi menyimpang > 25% dari hitungan makro
kenji,Nama bukan nama menu
keong mas,Non-halal / satwa liar
kerupuk aci,nama sudah ada di dataset lama
kerupuk ikan berpati,nama sudah ada di dataset lama
kerupuk terigu mentah,Tepung / bahan mentah
kerupuk udang,massa makro > 100 g per 100 g
kerupuk udang berpati,nama sudah ada di dataset lama
kerupuk upik singkong mentah,Tepung / bahan mentah
ketumbar halus,Bumbu / rempah / penyedap
ketumbar kasar,Bumbu / rempah / penyedap
kolang-kaling,Minuman
kopi made up (belu),Minuman
kopi susu (jagung. tepung beras. tapio,Minuman
kopi-kopi (jagung. tepung beras. tapiok,Minuman
koya,Nama bukan nama menu
krecek singkong mentah,Tepung / bahan mentah
krupuk aladin,Biskuit / snack bermerek
krupuk bala bala,nama ganda di dalam sumber
krupuk fuji (chips-chips),Biskuit / snack bermerek
krupuk jantan (tapioka. udang.wijen. b,Nama bukan nama menu
krupuk jazzy rp. 100 (ubi. bawang puti,Biskuit / snack bermerek
krupuk monas,Biskuit / snack bermerek
krupuk tempe besar rp. 500,Nama bukan nama menu
krupuk yeye,Biskuit / snack bermerek
kue bolu rp. 100,Nama bukan nama menu
kue donat rp. 100,Nama bukan nama menu
kue jalankote (isinya saja),Nama bukan nama menu
kue pisang molen rp. 100,Nama bukan nama menu
kue roko'-roko' unti rp. 50 (nagasari),Nama bukan nama menu
kue telur gabus/kue kontol bebek,Nama bukan nama menu
kulit,Nama bukan nama menu
kunci,Bumbu / rempah / penyedap
kunyit,Bumbu / rempah / penyedap
laos,Bumbu / rempah / penyedap
lemper,nama sudah ada di dataset lama
lengkuas,Bumbu / rempah / penyedap
loder,Nama bukan nama menu
martab ak kac abd meises?,Nama bukan nama menu
martabak kacabd meises,Nama bukan nama menu
merica,Bumbu / rempah / penyedap
merica halus,Bumbu / rempah / penyedap
milna,Susu formula / MPASI pabrikan
oncom goreng,nama sudah ada di dataset lama
ongol-ongol,nama sudah ada di dataset lama
opak,Bahan / topping / bukan hidangan utuh
orog orog,Nama bukan nama menu
oseng oseng kool belu,Nama bukan nama menu
ovaltine (tepung),Biskuit / snack bermerek
pandan,Bumbu / rempah / penyedap
papais,nama sudah ada di dataset lama
pastel,nama sudah ada di dataset lama
pergedel kentang belu,Nama bukan nama menu
pisang goreng,Buah segar
pisang molen,Buah segar
promina,Susu formula / MPASI pabrikan
rengginang ketan putih mentah,Tepung / bahan mentah
rengginang singkong mentah,Tepung / bahan mentah
risoles,nama sudah ada di dataset lama
salam,Bumbu / rempah / penyedap
sambal,energi menyimpang > 25% dari hitungan makro
sereh,Bumbu / rempah / penyedap
siomay,nama sudah ada di dataset lama
sirup ad plex,Obat / jamu
sirup batuk,Obat / jamu
sirup papasetamol,Obat / jamu
snack anak mas,Biskuit / snack bermerek
snack boiki,Biskuit / snack bermerek
snack idola,Biskuit / snack bermerek
snack primarasa,Biskuit / snack bermerek
snack rasa kelapa muda,Biskuit / snack bermerek
snack super lipo (tapioka. gula. garam.,Biskuit / snack bermerek
snack taro,Biskuit / snack bermerek
snack taro/kenji snack top ten sn,Biskuit / snack bermerek
snack tic tic makanan ringan/dora emon,Biskuit / snack bermerek
snack tuyul & mbak yul (jagung. garam.,Biskuit / snack bermerek
sun,Susu formula / MPASI pabrikan
air ikan cakalang,Minuman
air ikan layang,Minuman
air sayur,Minuman
air sayur + isi,Minuman
air sayur nangka,Minuman
air sayur sukun,Minuman
air tajin purworejo,Minuman
bubur campur belu,Nama bukan nama menu
bubur halus campur susu belu,Nama bukan nama menu
bubur havermuth,Bubur / puree bayi
bubur kacang hijau belu,Nama bukan nama menu
bubur kacang ijo nestle,Susu formula / MPASI pabrikan
bubur lunac belu,Nama bukan nama menu
bubur nasi (belu),Nama bukan nama menu
bubur nasi campur sawi belu,Nama bukan nama menu
bubur nasi campur supermie belu,Nama bukan nama menu
bubur nasi campur tomat belu,Nama bukan nama menu
bubur nasi kac. hij. (belu),Nama bukan nama menu
bubur nasi kecap,Bumbu / rempah / penyedap
bubur nestle belu made up,Susu formula / MPASI pabrikan
bubur nestle dry,Susu formula / MPASI pabrikan
bubur nutricia sayur daging,Bubur / puree bayi
bubur sari buah nestle,Susu formula / MPASI pabrikan
bubur saring belu,Nama bukan nama menu
bubur serelac made up belu,Bubur / puree bayi
bubur sum sum belu,Nama bukan nama menu
bubur sun beras merah,Susu formula / MPASI pabrikan
bubur sun beras merah belu made up,Susu formula / MPASI pabrikan
bubur sun kacang hijau belu made up,Susu formula / MPASI pabrikan
bubur sun pisang belu made up,Susu formula / MPASI pabrikan
bubur tepung,Bubur / puree bayi
bubur tepung beras dry rice flour,Bubur / puree bayi
bubur tepung beras merah,Bubur / puree bayi
bubur tepung beras -oko belu,Bubur / puree bayi
bubur tepung jangung belu,Bubur / puree bayi
bubur tim belu,Nama bukan nama menu
cangkring tetelan,Daging / ikan mentah (bukan hidangan)
cerelac/ ceresoy,Susu formula / MPASI pabrikan
kuah asam ikan tembang belu,Kuah saja / bukan hidangan utuh
kuah sayur kool belu,Kuah saja / bukan hidangan utuh
saos tomat,Bumbu / rempah / penyedap
sup ayam belu,Nama bukan nama menu
sup daging  belu,Nama bukan nama menu
sup kacang hijau  belu,Nama bukan nama menu
sup kacang merah  belu,Nama bukan nama menu
susu bebelac,Susu formula / MPASI pabrikan
susu bendera 123,Susu formula / MPASI pabrikan
susu chilmil,Susu formula / MPASI pabrikan
susu dancow,Susu formula / MPASI pabrikan
susu dancow balita,Susu formula / MPASI pabrikan
susu dancow coklat,Susu formula / MPASI pabrikan
susu dancow instant,Susu formula / MPASI pabrikan
susu dancow made up(belu),Susu formula / MPASI pabrikan
susu enfamil,Susu formula / MPASI pabrikan
susu envapro,Susu formula / MPASI pabrikan
susu kental manis made up belu,Minuman
susu lactogen,Susu formula / MPASI pabrikan
susu lactogen 1,Susu formula / MPASI pabrikan
susu lactogen 2,Susu formula / MPASI pabrikan
susu lactogen made up (belu),Susu formula / MPASI pabrikan
susu llm,Susu formula / MPASI pabrikan
susu morinaga,Susu formula / MPASI pabrikan
susu nutrilon,Susu formula / MPASI pabrikan
susu nutrima,Susu formula / MPASI pabrikan
susu promil,Susu formula / MPASI pabrikan
susu s26,Susu formula / MPASI pabrikan
susu sgm 1,Susu formula / MPASI pabrikan
susu sgm 2,Susu formula / MPASI pabrikan
susu sgm dry powder,Susu formula / MPASI pabrikan
susu sustagen,Susu formula / MPASI pabrikan
susu sustagen yunior,Susu formula / MPASI pabrikan
susu vitalac 1,Susu formula / MPASI pabrikan
susu vitalac 2,Susu formula / MPASI pabrikan
Puree wortel,Susu formula / MPASI pabrikan
Puree kentang,Susu formula / MPASI pabrikan
Puree labu kuning,Susu formula / MPASI pabrikan
Puree ubi jalar,Susu formula / MPASI pabrikan
Puree alpukat,Susu formula / MPASI pabrikan
Puree pisang,Susu formula / MPASI pabrikan
Bubur kacang hijau,energi menyimpang > 25% dari hitungan makro
Bubur beras merah,energi menyimpang > 25% dari hitungan makro
Puree brokoli,Susu formula / MPASI pabrikan
Bubur oatmeal,energi menyimpang > 25% dari hitungan makro
Bubur kacang merah,energi menyimpang > 25% dari hitungan makro
Bubur ayam dan labu,energi menyimpang > 25% dari hitungan makro
Nasi tim ayam,energi menyimpang > 25% dari hitungan makro
Nasi tim daging sapi,energi menyimpang > 25% dari hitungan makro
Nasi tim ikan,energi menyimpang > 25% dari hitungan makro
Sup sayuran,energi menyimpang > 25% dari hitungan makro
Bola-bola nasi dengan sayuran,energi menyimpang > 25% dari hitungan makro
Omelet sayur,energi menyimpang > 25% dari hitungan makro
Sup ayam dan kentang,energi menyimpang > 25% dari hitungan makro
Bubur sereal,energi menyimpang > 25% dari hitungan makro
